State Name,count,unique,top,freq
ANDHRA PRADESH,2888,2,Fluoride,2193
ARUNACHAL PRADESH,612,1,Iron,612
ASSAM,79910,3,Iron,74098
BIHAR,92336,4,Iron,69970
CHATTISGARH,25062,5,Iron,24439
CHHATTISGARH,8815,3,Iron,8339
GUJARAT,2092,4,Fluoride,804
HARYANA,262,2,Fluoride,244
HIMACHAL PRADESH,88,3,Salinity,72
JAMMU AND KASHMIR,67,3,Salinity,40
JHARKHAND,3913,5,Iron,3254
KARNATAKA,30824,5,Fluoride,13156
KERALA,4800,4,Iron,3161
MADHYA PRADESH,14449,4,Fluoride,12762
MAHARASHTRA,12480,5,Fluoride,4184
MANIPUR,14,1,Iron,14
MEGHALAYA,427,2,Iron,425
NAGALAND,618,1,Iron,618
ORISSA,68620,5,Iron,59905
PUDUCHERRY,17,2,Iron,16
PUNJAB,1056,3,Salinity,894
RAJASTHAN,131417,5,Salinity,87137
TAMIL NADU,3164,4,Iron,2119
TRIPURA,26235,1,Iron,26235
UTTAR PRADESH,9918,5,Iron,3376
UTTARAKHAND,57,4,Iron,35
WEST BENGAL,30101,4,Arsenic,12382
